
{'EVT':{'Adc': [[20, 20, 21, 21, 21, 21, 22, 22], [560, 565, 565, 565, 565, 581, 581, 578]], 'Frq': 41998676, 'Evt': 1, 'Tks': 4412949, 'Etm': 154447.1050735}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:12 2016'}}*{'SQN':{'Sqn': 86}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[20, 20, 20, 20, 20, 0, 0, 20], [560, 560, 564, 564, 566, 566, 590, 590]], 'Frq': 41998676, 'Evt': 1, 'Tks': 4412235, 'Etm': 154511.1050565}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:13 2016'}}*{'SQN':{'Sqn': 87}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[19, 22, 22, 20, 20, 19, 19, 20], [565, 565, 568, 568, 568, 568, 586, 586]], 'Frq': 41998676, 'Evt': 2, 'Tks': 2327, 'Etm': 154511.1051119}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:13 2016'}}*{'SQN':{'Sqn': 88}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[24, 24, 23, 23, 20, 20, 23, 23], [564, 571, 571, 568, 568, 575, 575, 580]], 'Frq': 41998676, 'Evt': 1, 'Tks': 4416346, 'Etm': 154611.1051544}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:13 2016'}}*{'SQN':{'Sqn': 89}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[23, 22, 22, 22, 22, 26, 26, 22], [562, 562, 565, 565, 567, 567, 589, 589]], 'Frq': 41998676, 'Evt': 1, 'Tks': 4421990, 'Etm': 155123.1052888}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:13 2016'}}*{'SQN':{'Sqn': 90}} - ('81.28.206.54', 57178)
