
{'EVT':{'Adc': [[1107, 1109, 1109, 1114, 1112, 1112, 1112, 1112], [1106, 1108, 1109, 1112, 1113, 1114, 1113, 1113]], 'Frq': 41998681, 'Evt': 1, 'Tks': 4424167, 'Etm': 123606.1053406}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:33 2016'}}*{'SQN':{'Sqn': 16}} - ('81.28.206.54', 51572)

{'EVT':{'Adc': [[1111, 1110, 1110, 1115, 1115, 1114, 1114, 1116], [1107, 1106, 1107, 1106, 1113, 1112, 1112, 1112]], 'Frq': 41998681, 'Evt': 1, 'Tks': 4420008, 'Etm': 123930.1052416}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:34 2016'}}*{'SQN':{'Sqn': 17}} - ('81.28.206.54', 51572)

{'EVT':{'Adc': [[1109, 1112, 1109, 1111, 1114, 1116, 1114, 1106], [1112, 1109, 1108, 1116, 1116, 1114, 1114, 1114]], 'Frq': 41998680, 'Evt': 1, 'Tks': 4395649, 'Etm': 124342.1046616}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:34 2016'}}*{'SQN':{'Sqn': 18}} - ('81.28.206.54', 51572)

{'EVT':{'Adc': [[1107, 1108, 1109, 1112, 1116, 1115, 1113, 1114], [1110, 1108, 1108, 1117, 1116, 1118, 1113, 1116]], 'Frq': 41998680, 'Evt': 1, 'Tks': 4414128, 'Etm': 124554.1051016}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:34 2016'}}*{'SQN':{'Sqn': 19}} - ('81.28.206.54', 51572)

{'EVT':{'Adc': [[1102, 1103, 1107, 1112, 1112, 1111, 1110, 1104], [1106, 1107, 1110, 1104, 1113, 1107, 1112, 1111]], 'Frq': 41998680, 'Evt': 1, 'Tks': 4417698, 'Etm': 124606.1051866}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:34 2016'}}*{'SQN':{'Sqn': 20}} - ('81.28.206.54', 51572)

{'EVT':{'Adc': [[1101, 1101, 1105, 1106, 1109, 1110, 1109, 1109], [1110, 1104, 1104, 1109, 1110, 1111, 1108, 1109]], 'Frq': 41998680, 'Evt': 1, 'Tks': 4391528, 'Etm': 124618.1045635}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:34 2016'}}*{'SQN':{'Sqn': 21}} - ('81.28.206.54', 51572)

{'EVT':{'Adc': [[1109, 1113, 1110, 1114, 1113, 1114, 1113, 1118], [1107, 1111, 1110, 1114, 1116, 1117, 1115, 1113]], 'Frq': 41998680, 'Evt': 1, 'Tks': 4418405, 'Etm': 124742.1052034}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:34 2016'}}*{'SQN':{'Sqn': 22}} - ('81.28.206.54', 51572)

{'EVT':{'Adc': [[1110, 1112, 1109, 1113, 1110, 1114, 1113, 1110], [1108, 1109, 1110, 1114, 1114, 1116, 1112, 1113]], 'Frq': 41998680, 'Evt': 1, 'Tks': 4424746, 'Etm': 125042.1053544}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:35 2016'}}*{'SQN':{'Sqn': 23}} - ('81.28.206.54', 51572)

{'VIB':{'Vax': 4, 'Vcn': 6}}*{'ACL':{'Acz': 10.473503, 'Acy': -0.23536, 'Acx': 0.039227}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.545455, 'Mgx': 3.090909}}*{'LOC':{'Lat': 46.09597, 'Alt': 487.700012, 'Lon': 5.879603}}*{'TIM':{'Upt': 1666, 'Sec': 125927, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:35 2016'}}*{'SQN':{'Sqn': 24}} - ('81.28.206.54', 51572)

